Nom,Sexe,Âge,Département,Fonction,Service,Date d'embauche,Salaire de base,Prime,Statut,Salaire total
Victoire de la Étienne,Femme,30,Mono,Manager,Support,5/19/2018,361987.32,107745.88,Consultant,469733.2
Adrienne Rémy,Homme,33,Plateau,Manager,RH,8/24/2018,497718.06,2157.89,CDD,499875.95
Henriette-Henriette Pinto,Femme,50,Zou,Commercial,Commercial,4/20/2019,270405.31,6462.38,Stage,276867.69
Martin Langlois,Femme,37,Plateau,RH,RH,7/8/2024,388139.37,20929.41,CDD,409068.77999999997
Jeanne du Garnier,Homme,24,Borgou,Comptable,Support,3/31/2016,313152.19,90201.01,CDD,403353.2
Gérard Guillon Le Lamy,Homme,27,Littoral,Développeur,Finance,7/20/2016,116473.11,13530.58,Consultant,130003.69
Élisabeth du Payet,Femme,31,Collines,Développeur,IT,12/5/2015,408437.09,1184.65,CDI,409621.74000000005
André Vasseur Le Traore,Femme,28,Littoral,Comptable,Finance,2/24/2020,281998.61,82276.19,Stage,364274.8
Michel-Théodore Boulanger,Femme,31,Collines,Développeur,Commercial,7/16/2021,393741.51,262.24,Consultant,394003.75
Rémy Lefebvre,Femme,53,Zou,Comptable,IT,9/27/2016,213405.72,1248.31,CDI,214654.03
Marie du Laine,Homme,30,Donga,RH,Support,1/17/2019,412133.16,74838.99,Consultant,486972.14999999997
Manon Perret,Femme,37,Plateau,Chargé de clientèle,Support,10/28/2021,414159.23,33594.14,CDD,447753.37
Jules Roussel,Homme,45,Ouémé,RH,Support,8/26/2021,399867.3,93773.68,CDI,493640.98
Benoît Michel,Femme,60,Plateau,Commercial,RH,2/7/2017,148897.91,28388.4,CDD,177286.31
Victor-Paul Gilbert,Homme,49,Borgou,Commercial,IT,1/11/2020,301142.91,84975.72,CDD,386118.63
Édouard du Gay,Homme,36,Mono,Comptable,Technique,12/25/2020,130837.35,36857.29,CDD,167694.64
Michèle-Suzanne Dupont,Femme,37,Mono,Commercial,RH,8/28/2020,419442.25,36803.79,CDD,456246.04
Robert de la Bertin,Homme,27,Atacora,Comptable,RH,3/3/2024,380634.77,34056.79,CDI,414691.56
Denis-Arthur Bertin,Femme,24,Littoral,Manager,IT,5/30/2022,159461.23,3763.93,Consultant,163225.16
Susan Hardy-De Sousa,Femme,31,Atacora,Manager,Commercial,4/10/2016,263383.43,50240.69,CDI,313624.12
Camille Ribeiro,Femme,42,Borgou,RH,Support,3/5/2022,122250.69,1606.81,CDI,123857.5
Grégoire Hernandez,Femme,52,Alibori,Manager,IT,7/5/2016,461538.8,102997.5,CDD,564536.3
Claire Vasseur,Femme,36,Atlantique,RH,IT,5/22/2021,403790.96,77770.51,Stage,481561.47000000003
Zacharie Renaud du Morel,Homme,58,Atlantique,Manager,Technique,8/9/2017,460925.7,10023.96,CDI,470949.66000000003
Marcel Blondel,Femme,57,Atlantique,Manager,RH,6/15/2021,279521.75,16548.88,CDD,296070.63
Nath Texier de la Olivier,Homme,43,Borgou,RH,Support,5/3/2017,392106.5,38869.27,CDD,430975.77
Henriette Hernandez,Homme,48,Alibori,Développeur,Finance,3/29/2022,343710.76,57407.61,Stage,401118.37
Audrey Albert,Homme,51,Couffo,RH,RH,4/13/2021,267877.65,15575.11,Stage,283452.76
Adrien-Guy Samson,Homme,43,Borgou,Manager,Technique,7/11/2019,85652.32,8192.8,Stage,93845.12000000001
Roger Muller-Denis,Homme,44,Ouémé,RH,Support,5/17/2023,412004.43,10952.53,CDD,422956.96
Daniel de Dufour,Homme,33,Collines,Technicien,Commercial,3/4/2022,364990.68,74913.9,Consultant,439904.57999999996
Laurent-Zacharie Louis,Femme,29,Atacora,Chargé de clientèle,IT,10/4/2017,198661.07,27990.06,CDI,226651.13
Vincent Benard,Homme,29,Alibori,Développeur,Technique,8/23/2017,373690.04,35690.52,CDD,409380.56
Martin Pires,Femme,38,Mono,Commercial,Finance,5/7/2022,390004.88,12402.7,CDI,402407.58
Arthur Rodrigues du Verdier,Femme,54,Couffo,Comptable,IT,2/25/2016,468143.8,883.86,CDI,469027.66
Gabriel Maillet,Femme,52,Borgou,RH,Finance,12/1/2020,295227.26,72935.73,CDI,368162.99
Claire Maillot,Homme,49,Atacora,Développeur,RH,9/19/2024,400550.16,20704.58,CDI,421254.74
Henri Labbé,Homme,33,Donga,Manager,Support,6/28/2022,410813.5,34775.35,CDI,445588.85
Audrey Schneider,Homme,23,Plateau,Développeur,Commercial,11/4/2021,183513.76,51628.69,Consultant,235142.45
Laure du Guibert,Homme,30,Borgou,RH,Finance,4/13/2020,470836.18,55935.33,Consultant,526771.51
Corinne Lévy-Lecoq,Femme,43,Couffo,Chargé de clientèle,Finance,1/5/2021,196091.8,32258.07,CDI,228349.87
Victoire Lacroix,Homme,40,Littoral,Manager,Commercial,1/15/2023,346650.41,59712.93,Stage,406363.33999999997
Jules Laurent,Homme,30,Collines,Manager,Finance,2/12/2016,242741.29,1065.08,CDI,243806.37
Noël Pineau,Homme,41,Borgou,RH,RH,4/22/2023,366129.96,65251.64,Consultant,431381.60000000003
Isaac du Guillot,Homme,46,Donga,Commercial,Commercial,12/11/2017,306949.98,38154.31,CDI,345104.29
Margaux David,Homme,52,Littoral,RH,IT,9/1/2024,194180.44,2524.91,Consultant,196705.35
Laetitia de Moreau,Homme,52,Atlantique,Technicien,Technique,12/22/2016,411511.17,34493.44,Consultant,446004.61
Charles Lemonnier de Lefebvre,Homme,22,Donga,Développeur,RH,9/8/2016,483246.64,99735.77,CDI,582982.41
Olivie Roussel,Homme,59,Donga,Manager,IT,11/19/2022,387362,41577.62,CDD,428939.62
Éléonore-Émilie Navarro,Femme,45,Alibori,Manager,Support,3/16/2016,398815.02,101935.88,CDD,500750.9
Tristan Goncalves,Femme,40,Mono,Développeur,Commercial,6/29/2022,236966.04,5849.04,CDI,242815.08000000002
Victor Perrin-Torres,Femme,38,Atlantique,RH,RH,5/25/2024,223752.7,65425.74,CDD,289178.44
Franck Wagner,Femme,56,Collines,Développeur,IT,11/26/2019,257084.42,4506.78,CDD,261591.2
Édouard-Stéphane Renault,Femme,52,Borgou,RH,Commercial,5/5/2024,478088.01,88933.58,CDI,567021.59
Olivier Lambert,Homme,51,Littoral,RH,Finance,1/30/2016,403394.84,108761.11,Stage,512155.95
Charles Verdier,Homme,27,Couffo,Comptable,IT,7/7/2022,326584.66,35516.76,Stage,362101.42
Zoé Moulin,Homme,40,Zou,Comptable,Support,2/13/2024,99168.97,14849.9,CDD,114018.87
Jean-Julien Guillou,Femme,49,Plateau,Technicien,Finance,9/2/2020,134897.63,887.63,CDD,135785.26
Anne Fernandes,Homme,29,Couffo,Commercial,Technique,9/22/2020,233574.63,67937.07,CDD,301511.7
Édouard-André Dubois,Homme,38,Plateau,Développeur,Finance,6/20/2018,463239.3,110633.61,Consultant,573872.91
Marcelle-Margot François,Femme,56,Alibori,Manager,Technique,12/3/2021,291928.12,44282.71,CDD,336210.83
Jules De Sousa,Homme,40,Couffo,Commercial,Support,7/11/2018,113396.16,5416.13,CDD,118812.29000000001
David Guillaume de Fontaine,Femme,39,Zou,Chargé de clientèle,Commercial,2/8/2019,326438.57,38545.18,Stage,364983.75
David Besson de la Vaillant,Femme,55,Couffo,Manager,Support,7/13/2019,329200,46507.68,Consultant,375707.68
Amélie Camus,Homme,48,Borgou,RH,Commercial,8/25/2018,348090.1,76665.28,CDI,424755.38
Alex Leblanc,Homme,46,Couffo,Manager,Commercial,4/26/2016,136841.1,6712.7,Stage,143553.80000000002
Camille Sauvage,Homme,31,Alibori,Chargé de clientèle,Finance,10/27/2022,224122.5,50581.21,Stage,274703.71
André Sauvage du Germain,Femme,32,Borgou,Commercial,Finance,4/11/2023,283480.03,56648.37,CDI,340128.4
Eugène Lesage Le Sanchez,Homme,60,Ouémé,RH,IT,1/3/2020,93510.13,9761.86,Stage,103271.99
Bernard Picard,Femme,23,Atlantique,Manager,Technique,9/14/2020,85783.94,3122.09,CDI,88906.03
Aimé Blanchard,Homme,53,Couffo,Chargé de clientèle,Finance,6/29/2017,263280.58,29202.7,CDD,292483.28
Joseph Launay,Femme,51,Littoral,RH,Commercial,3/7/2022,138499.09,40754.95,Consultant,179254.03999999998
Joséphine Delattre,Femme,53,Zou,Chargé de clientèle,IT,7/9/2018,172605.4,6426.51,Consultant,179031.91
Théodore-Jacques Buisson,Femme,57,Collines,RH,Finance,12/19/2018,168993.12,35201.9,CDD,204195.02
Édouard de la Bouvier,Femme,34,Plateau,Commercial,IT,7/6/2016,140052.9,28085.78,CDI,168138.68
Alphonse Le Guilbert,Femme,43,Zou,RH,Support,8/16/2017,136270.15,29057.07,Stage,165327.22
Luc Maréchal,Femme,54,Littoral,RH,RH,7/26/2019,114991.09,30102.9,Stage,145093.99
Thibaut Le Reynaud,Femme,32,Plateau,Comptable,RH,9/3/2016,124035.48,2596.45,Stage,126631.93
William Maurice,Homme,40,Atlantique,Manager,Commercial,5/3/2019,280925.38,76577.91,Stage,357503.29000000004
Hélène-Michelle Reynaud,Femme,58,Borgou,Comptable,Finance,11/25/2021,157943.11,27819.06,Stage,185762.16999999998
Anastasie Jacob-Bonneau,Homme,42,Collines,Comptable,Commercial,2/8/2023,329246.47,42013.51,CDI,371259.98
Inès Leclercq,Femme,30,Zou,Chargé de clientèle,RH,8/2/2022,492161.21,122460.56,Stage,614621.77
Julien du Rolland,Homme,38,Atacora,Comptable,Support,5/28/2024,281045.7,44474.27,CDI,325519.97000000003
Adélaïde Lefebvre,Homme,36,Zou,Technicien,Technique,7/21/2016,351663.51,75846.97,Stage,427510.48
Maggie Hardy,Femme,56,Mono,RH,IT,11/27/2020,333487.46,56702.95,CDI,390190.41000000003
Adrien Le Gall,Femme,36,Borgou,Développeur,RH,12/3/2022,100433.24,3996.99,CDI,104430.23000000001
Claude Bodin,Homme,54,Zou,Technicien,RH,7/30/2024,326198.36,25956.46,Consultant,352154.82
Éric-Laurent Brun,Homme,30,Alibori,Développeur,RH,11/2/2018,254289.97,17356.43,Consultant,271646.4
Bertrand Barre-Godard,Homme,41,Borgou,Technicien,IT,10/19/2017,459625.44,62145.73,Consultant,521771.17
Victor Richard,Homme,47,Atlantique,RH,Commercial,7/25/2023,182724.41,44485.08,Consultant,227209.49
Théodore Martel,Femme,56,Zou,Technicien,Finance,9/28/2018,487295.47,29006.83,Consultant,516302.3
Luce Ferrand,Femme,24,Alibori,Manager,RH,9/9/2021,161536.85,45439.08,Consultant,206975.93
Jules Lesage-Thibault,Femme,41,Alibori,Technicien,Support,12/1/2023,111799.85,1155.34,CDD,112955.19
Gérard Lemonnier,Homme,28,Littoral,Développeur,Technique,12/15/2019,107228.7,5114.91,Stage,112343.61
Édouard Lecomte,Homme,47,Atacora,Développeur,Technique,2/23/2024,400677.75,114846.44,CDI,515524.19
Michelle Masson de Masse,Femme,51,Collines,Commercial,Finance,12/4/2018,249582.83,599.21,CDI,250182.03999999998
Alix Raynaud Le Duhamel,Femme,39,Collines,RH,Commercial,3/2/2021,374241.79,52013.23,CDI,426255.01999999996
Lorraine Brunet,Homme,58,Donga,Chargé de clientèle,Technique,10/13/2022,379539.04,85963.26,Stage,465502.3
Roger Duhamel,Homme,49,Mono,Développeur,Finance,1/12/2019,294378.45,13082.98,Stage,307461.43
André Laurent du Léger,Homme,48,Atacora,Commercial,RH,12/22/2022,216286.06,38208.01,Stage,254494.07
Thibault Millet de Lefort,Femme,29,Borgou,Commercial,Support,8/17/2023,93235.41,6200.81,CDI,99436.22
Robert Nguyen,Homme,45,Ouémé,Manager,Support,9/29/2022,125066.62,23964.36,Stage,149030.97999999998
Margot Voisin,Femme,57,Zou,Technicien,Support,3/18/2018,442535.64,39349.58,Consultant,481885.22000000003
Honoré Michel,Femme,31,Borgou,Commercial,Commercial,7/31/2018,261775.07,55207.3,Consultant,316982.37
Alexandria Leconte,Homme,57,Zou,Développeur,Finance,4/10/2023,138037.4,27136.94,Stage,165174.34
Yves Delannoy de la Julien,Femme,53,Borgou,RH,Commercial,12/9/2023,138594.87,23302.9,CDI,161897.77
Georges Verdier,Homme,44,Ouémé,Comptable,Commercial,5/2/2016,349287.29,95967,CDI,445254.29
Patrick Fabre Le Daniel,Femme,54,Atacora,Technicien,IT,8/26/2019,480656.31,102975.35,Consultant,583631.66
Gabriel Pichon,Homme,46,Plateau,Manager,Finance,2/7/2024,92691.99,24110.25,Stage,116802.24
Antoine Pichon,Femme,37,Atacora,Comptable,RH,11/11/2019,169045.48,7938.76,CDD,176984.24000000002
Théophile Marie-Leblanc,Femme,44,Alibori,Comptable,Support,4/7/2017,84571.53,19905.74,Stage,104477.27
Gilbert Maillard,Femme,45,Borgou,Comptable,Finance,1/14/2021,189467.76,13596.15,Stage,203063.91
Gabrielle Joseph,Femme,52,Zou,Développeur,Finance,1/2/2017,186795.34,24420.69,Consultant,211216.03
Raymond-Denis Rossi,Homme,52,Borgou,Développeur,Commercial,6/3/2022,167992.16,914.93,Consultant,168907.09
Corinne Hoareau,Femme,58,Alibori,Comptable,Finance,10/15/2019,236317.97,51424.9,Stage,287742.87
Catherine Vallet,Femme,24,Alibori,Chargé de clientèle,Commercial,5/22/2017,342721.36,15632.58,Consultant,358353.94
Timothée-Henri Lemonnier,Femme,46,Ouémé,Chargé de clientèle,Technique,1/22/2017,165202.96,31294.69,Stage,196497.65
François Chrétien,Femme,44,Littoral,Développeur,IT,4/19/2021,251384.48,9291.3,CDD,260675.78
Rémy Huet,Homme,47,Borgou,Technicien,Support,6/8/2016,461225.38,62506.61,CDI,523731.99
Célina Besson-Royer,Femme,32,Donga,Manager,Finance,8/20/2022,241294.54,2391.72,Consultant,243686.26
Alexandre Roger,Femme,25,Ouémé,RH,IT,10/11/2017,395233.94,116617.62,CDD,511851.56
David Lesage,Femme,25,Donga,Comptable,Finance,9/12/2019,122429.87,12140.69,CDD,134570.56
Agathe-Audrey Pascal,Femme,47,Collines,Manager,IT,12/7/2018,388724.97,10049,Consultant,398773.97
François Michel,Femme,34,Ouémé,RH,Support,8/8/2021,493466.05,74571.21,CDD,568037.26
Bernard Chauvet,Femme,58,Alibori,RH,RH,7/29/2018,409424.71,53933.13,Consultant,463357.84
Marc Salmon,Homme,26,Atacora,Développeur,RH,12/15/2017,242507.69,3374.42,CDD,245882.11000000002
Manon Collet Le Andre,Femme,36,Donga,Chargé de clientèle,Commercial,3/27/2024,300836.95,19351.96,Stage,320188.91000000003
Roger Colas,Femme,55,Couffo,Technicien,RH,10/5/2023,142022.12,6030.74,Consultant,148052.86
Antoine Chauvin,Homme,50,Mono,Commercial,Finance,7/9/2023,99981.14,20724.11,Consultant,120705.25
Aurore-Claude Bruneau,Homme,28,Alibori,Manager,Commercial,1/15/2022,441102.18,114929.21,Consultant,556031.39
Gabrielle-Sophie Vasseur,Femme,46,Donga,Technicien,IT,1/23/2018,178667.72,32033.92,CDD,210701.64
Eugène Roger,Femme,28,Littoral,RH,Support,10/25/2021,332327.89,50535.68,CDD,382863.57
Jeanne Leblanc-Charrier,Homme,34,Zou,Commercial,IT,7/28/2017,309679.07,67569.04,Stage,377248.11
Bernadette Charles,Femme,30,Zou,Comptable,Commercial,10/12/2024,430846,9319.58,Stage,440165.58
Hélène Lombard,Femme,49,Littoral,RH,RH,3/8/2016,156037.67,27757.55,CDI,183795.22
François de Grégoire,Femme,25,Collines,Comptable,Finance,2/16/2024,262253.91,23797.65,CDI,286051.56
Joseph Dufour du Neveu,Homme,40,Mono,Technicien,Support,6/17/2023,188606.11,54745.95,CDD,243352.06
Juliette Lopes,Homme,54,Alibori,RH,Commercial,5/27/2020,80554.2,15533.99,Stage,96088.19
Marthe Lebreton,Femme,45,Donga,Développeur,Finance,6/18/2022,393395.51,62755.01,Stage,456150.52
Suzanne Huet,Homme,25,Borgou,Développeur,Technique,9/3/2020,454282.89,134297.21,CDI,588580.1
Georges Perrot,Homme,33,Ouémé,Développeur,Technique,10/16/2016,461801.29,112451.97,CDI,574253.26
Agnès Dumont,Femme,53,Ouémé,Technicien,Technique,10/12/2016,379232.43,107013.85,Stage,486246.28
Michelle Gaillard,Femme,49,Collines,Chargé de clientèle,IT,2/23/2019,405356.03,13156.52,CDD,418512.55000000005
Bernard Benoit,Femme,23,Borgou,Chargé de clientèle,Finance,5/10/2023,453942.38,41814.7,Consultant,495757.08
Jeanne Peron,Homme,26,Borgou,Commercial,RH,12/26/2017,472618.83,41592.84,CDI,514211.67000000004
Chantal David,Femme,43,Couffo,Chargé de clientèle,Technique,7/18/2021,460798.51,43942.38,CDD,504740.89
François Becker,Homme,23,Ouémé,Chargé de clientèle,Finance,9/19/2024,371378.29,74259.19,Stage,445637.48
Philippine-Luce Mary,Homme,30,Littoral,RH,RH,1/23/2022,422053.52,114189.55,CDD,536243.0700000001
François de Toussaint,Femme,39,Zou,Technicien,Commercial,6/11/2019,236840.15,21687,CDD,258527.15
Marthe Brun de Perez,Femme,43,Mono,Commercial,IT,2/7/2021,166349.97,20658.15,Consultant,187008.12
Agathe Raymond,Femme,50,Atlantique,Comptable,Technique,3/31/2024,463747.81,78579.75,CDI,542327.56
Thibault Delmas,Femme,23,Atacora,Développeur,Commercial,5/17/2019,240004.59,50641.58,CDI,290646.17
Gabrielle Boulanger de Lemaire,Homme,34,Collines,Comptable,RH,8/29/2023,159311.39,19126.38,CDI,178437.77000000002
Lucy Renaud,Homme,22,Plateau,Technicien,Commercial,3/20/2020,414222.35,51823.63,CDI,466045.98
Eugène Nguyen,Femme,46,Mono,RH,Support,9/25/2022,135192.82,33876.42,CDI,169069.24
Anaïs Joubert,Homme,44,Zou,Développeur,Finance,10/12/2024,202432.83,3914.03,CDD,206346.86
Roland Hamel de la Philippe,Homme,37,Plateau,Commercial,Technique,2/27/2022,316106.4,53652.66,Consultant,369759.06000000006
Noël Guillou,Femme,58,Plateau,Commercial,IT,4/2/2019,391246.94,21125.33,CDD,412372.27
Danielle Masson,Femme,57,Borgou,Chargé de clientèle,Technique,11/3/2017,282301.9,32579.03,CDI,314880.93000000005
Olivier-Jérôme Faure,Femme,57,Mono,Développeur,Technique,1/29/2023,209652.5,42067.45,CDD,251719.95
Philippe Le Lebrun,Femme,46,Borgou,Manager,Finance,1/26/2018,146645.41,14903.51,CDD,161548.92
Thibaut Louis-Lemaire,Homme,56,Atlantique,Comptable,Technique,6/24/2017,477870.09,67197.72,CDD,545067.81
Thomas Lebreton Le Mace,Homme,27,Alibori,Chargé de clientèle,RH,10/14/2020,90152.93,19173.83,Stage,109326.76
Victoire Briand Le Lévêque,Femme,36,Zou,Chargé de clientèle,Support,7/29/2016,98908.72,27375.27,Consultant,126283.99
Inès Leclercq,Homme,46,Littoral,RH,Technique,2/29/2024,281017.71,24696.69,CDD,305714.4
Élodie Bernier,Femme,22,Collines,Commercial,Commercial,8/26/2016,279738.13,16702.66,Consultant,296440.79
Matthieu Letellier,Femme,58,Littoral,Manager,IT,1/16/2016,335795.59,39371.45,Consultant,375167.04000000004
Pierre Brunet-Lefebvre,Femme,39,Donga,Comptable,RH,9/20/2021,100106.35,11309.93,Stage,111416.28
Lucie Le Chauvet,Femme,37,Couffo,Manager,Finance,8/15/2024,365505.03,19887.5,CDD,385392.53
Hortense Gilbert de De Oliveira,Femme,38,Alibori,Commercial,Commercial,4/29/2024,387988.63,3320.4,Consultant,391309.03
Bertrand Benoit,Homme,39,Collines,RH,RH,8/10/2016,391132.84,52270.58,Consultant,443403.42000000004
Dorothée Chauvet,Homme,56,Collines,RH,Support,11/9/2022,260861.67,33925.57,CDD,294787.24
Noémi Blin,Femme,50,Donga,Comptable,Commercial,11/4/2020,99225.5,26122.07,CDD,125347.57
Luce Buisson du Rey,Homme,43,Alibori,Manager,RH,3/23/2019,283842.14,14884.2,CDI,298726.34
Catherine-Pénélope Renard,Homme,51,Donga,Chargé de clientèle,Technique,3/22/2024,414421.32,38490.47,Consultant,452911.79000000004
Thibault-Auguste Joubert,Homme,58,Atlantique,Chargé de clientèle,IT,11/1/2022,472692.86,99688.37,Consultant,572381.23
Daniel Delmas,Homme,42,Plateau,Technicien,Technique,3/19/2022,81382.68,5188.4,CDD,86571.07999999999
Victor Potier,Homme,42,Borgou,Comptable,Commercial,8/7/2019,386000.04,12251.16,Consultant,398251.19999999995
Franck Laine,Femme,37,Couffo,Commercial,Finance,11/10/2019,251787.79,30459.64,CDI,282247.43
Susan Foucher,Homme,59,Collines,Développeur,Support,11/11/2021,189191.73,27607.06,Stage,216798.79
Isabelle de la Gay,Femme,57,Collines,Comptable,Technique,6/13/2016,284734.73,59261.88,Stage,343996.61
Éric Briand,Homme,37,Collines,Commercial,Support,12/30/2020,169716.18,28252.7,Stage,197968.88
Frédéric Poirier,Homme,57,Littoral,Commercial,IT,5/17/2020,321166.89,2472.44,CDD,323639.33
Victoire du Meyer,Femme,41,Ouémé,Chargé de clientèle,Finance,2/12/2020,362270.08,66966.43,Consultant,429236.51
Patrick Jean de la Gimenez,Homme,43,Littoral,Développeur,RH,11/29/2023,468544.09,124297.35,CDI,592841.4400000001
Hugues Faure,Femme,40,Mono,RH,Technique,4/24/2019,412951.11,78039.92,Consultant,490991.02999999997
Marianne Briand,Femme,59,Zou,RH,RH,12/7/2019,406927.85,81135.77,CDD,488063.62
Claude-Anaïs Pelletier,Homme,38,Atacora,Développeur,RH,6/11/2021,425671.71,88367.96,Consultant,514039.67000000004
Gilbert Toussaint,Femme,32,Mono,RH,Technique,5/3/2016,138068.42,5086.02,Stage,143154.44
Raymond-Olivier Vallet,Femme,57,Littoral,Technicien,IT,10/10/2017,204341.49,23994.07,CDD,228335.56
Gilbert Joseph,Femme,53,Borgou,Comptable,Commercial,6/20/2017,334175.88,68541.72,Consultant,402717.6
Jules Brunet,Homme,25,Mono,RH,Finance,1/24/2019,85231.95,9701.78,Consultant,94933.73
Clémence Guérin,Femme,34,Plateau,Technicien,Finance,8/31/2017,120775.23,23333.92,Consultant,144109.15
Daniel Loiseau-Guilbert,Homme,41,Donga,Manager,RH,3/12/2019,248643.79,17615.64,CDI,266259.43
Madeleine de la Weiss,Femme,56,Atacora,Comptable,Technique,1/28/2020,180759.79,32262.35,CDD,213022.14
André Aubert du Lecoq,Homme,40,Borgou,Chargé de clientèle,Finance,3/29/2024,94429.33,11155.23,Consultant,105584.56
Émile Fleury,Femme,57,Couffo,Manager,Support,1/21/2016,448849,12480.31,CDD,461329.31
Adèle Pires-Rodrigues,Homme,59,Borgou,Technicien,IT,9/14/2018,345645.85,52378.7,Consultant,398024.55
Tristan Guyot,Femme,60,Atacora,Manager,Finance,5/22/2017,435220.22,72487.93,Stage,507708.14999999997
Zacharie Perrier,Femme,28,Littoral,Technicien,Commercial,12/14/2017,210526.36,20324.16,CDI,230850.52
Capucine Faure-Blanc,Homme,41,Ouémé,RH,Support,4/15/2023,142884.52,295.47,CDI,143179.99
Anouk Jacquot-Bernier,Femme,48,Atlantique,Chargé de clientèle,RH,11/10/2022,259527.07,29054.29,CDD,288581.36
Suzanne du Martel,Femme,33,Donga,Chargé de clientèle,Finance,10/28/2015,159668.23,3989.51,Stage,163657.74000000002
Victoire Mathieu,Femme,26,Alibori,Manager,Commercial,7/13/2023,290356.91,5742.37,CDI,296099.27999999997
Gilles Merle de la Blondel,Femme,39,Collines,Développeur,Commercial,8/30/2024,207586.1,52559.17,Stage,260145.27000000002
Juliette Poulain,Homme,60,Collines,Chargé de clientèle,Technique,12/18/2022,315965.64,42303.1,CDD,358268.74
Aurore Paul de Guillou,Homme,54,Zou,Chargé de clientèle,Finance,11/2/2019,319908.84,8635.38,Stage,328544.22000000003
Laetitia Carre,Femme,26,Zou,Chargé de clientèle,Commercial,2/23/2020,369666.09,102085.27,CDD,471751.36000000004
Raymond Gimenez,Homme,41,Couffo,Manager,Support,8/28/2023,400764.75,94116.52,CDD,494881.27
Nicole Mallet-Bouvet,Homme,48,Donga,Comptable,Commercial,6/21/2017,136527.01,27989.73,Consultant,164516.74000000002
Alix Devaux de Bernier,Homme,45,Mono,RH,Finance,7/11/2017,87769.01,22601.25,Stage,110370.26
Louise-Suzanne Marion,Femme,53,Atlantique,Chargé de clientèle,Finance,7/19/2018,231066.94,2439.45,Consultant,233506.39
Anouk Rousseau,Homme,60,Littoral,RH,Support,10/10/2019,346673.83,27272.4,Stage,373946.23000000004
Monique Jacquet,Femme,40,Collines,Développeur,RH,8/6/2023,308076.88,24720.93,Stage,332797.81
Louis Besson,Homme,41,Donga,RH,Support,10/2/2022,408282.88,1147.53,CDD,409430.41000000003
Valentine-Christine Seguin,Femme,44,Donga,Chargé de clientèle,RH,5/1/2019,259559.81,13375.76,Stage,272935.57
Émilie Da Costa Le Maurice,Femme,50,Plateau,Comptable,Finance,8/1/2017,404387.55,39880.48,Stage,444268.02999999997
Paulette Barbe,Femme,42,Couffo,RH,Commercial,7/12/2017,236567.1,64835.4,Stage,301402.5
Thérèse Denis,Femme,45,Borgou,Commercial,Commercial,9/1/2020,412289.87,12308.43,Stage,424598.3
Cécile Perrin-Raynaud,Femme,32,Mono,Commercial,Finance,5/8/2016,306105.63,43032.73,CDD,349138.36
Michelle Pages,Homme,30,Atacora,Manager,Support,4/21/2019,281627.7,78344.18,CDD,359971.88
Jeanne Guillaume,Homme,58,Donga,Commercial,RH,10/9/2022,130637.25,15645.5,CDI,146282.75
Alphonse Albert,Homme,30,Plateau,Manager,Finance,5/4/2018,280964.71,13640.87,CDI,294605.58
Michelle Neveu,Homme,22,Plateau,Chargé de clientèle,Commercial,6/19/2018,450009.69,39976.15,CDD,489985.84
François Duval,Femme,45,Alibori,Commercial,Technique,7/20/2021,386726.79,12981.64,CDI,399708.43
Benjamin de la Perret,Femme,34,Ouémé,Chargé de clientèle,Technique,4/2/2021,388924.58,21088.61,Stage,410013.19
Jacqueline Le Payet,Femme,42,Zou,Chargé de clientèle,Finance,12/7/2016,323037.3,94970.74,CDD,418008.04
Sabine Louis de Valette,Femme,50,Mono,Manager,Technique,1/29/2016,160932.48,8357.18,Consultant,169289.66
Maurice Bousquet,Femme,29,Atlantique,Manager,RH,10/5/2017,425310.1,23843.88,CDD,449153.98
Luc Lebon Le Chauvet,Homme,22,Atlantique,Commercial,RH,4/12/2021,228573.97,60112.49,Consultant,288686.46
Geneviève Lelièvre,Femme,29,Mono,Technicien,Commercial,2/7/2021,344527.65,66535.41,CDD,411063.06000000006
Amélie-Michelle Louis,Femme,34,Littoral,Chargé de clientèle,IT,10/16/2021,80734.67,10401.99,Consultant,91136.66
Zacharie Bègue,Femme,29,Atlantique,Manager,RH,8/31/2020,493580.7,103536.21,Stage,597116.91
Charlotte Lemonnier de la Brun,Homme,22,Ouémé,Manager,Support,7/30/2021,400207.18,106425.31,Consultant,506632.49
Lucie Le Pascal,Homme,43,Littoral,Développeur,Support,8/11/2021,352816.41,24006.47,Stage,376822.88
Rémy Ferrand-Mace,Femme,47,Zou,Chargé de clientèle,Technique,7/23/2020,210653.53,17568.32,Consultant,228221.85
Emmanuel Hervé,Femme,50,Ouémé,Développeur,IT,9/20/2022,87964.06,7465.56,Stage,95429.62
Georges de la Lebrun,Femme,25,Donga,Technicien,Finance,2/2/2017,424088.5,112792.29,Stage,536880.79
Aimée Delorme,Homme,25,Zou,RH,Technique,2/27/2018,430415.5,2430.07,Stage,432845.57
Sébastien-Nicolas Morin,Femme,60,Borgou,Manager,Support,1/5/2019,148849.92,15002.05,CDD,163851.97
Gilles Lamy,Homme,38,Ouémé,Chargé de clientèle,IT,6/12/2023,320445.63,48295.77,CDD,368741.4
Isaac Peltier,Femme,33,Borgou,RH,Finance,6/7/2023,238336.72,40569.73,Stage,278906.45
Océane Cordier-Prévost,Homme,43,Ouémé,Développeur,IT,9/23/2017,103760.95,5826.97,Consultant,109587.92
